,title,rental_duration,rental_rate,length,replacement_cost,rating,category,amount,active,rental_month,rental_day,rental_hour,return_month,return_day,return_hour,rental_duration_days,customer_name
26,Beauty Grease,5,4.99,175,28.99,G,Drama,8.99,1,6,16,14,6,25,8,8,Ryan Salisbury
27,Patient Sister,7,0.99,99,29.99,NC-17,Classics,0.99,1,6,18,6,6,21,1,2,Ryan Salisbury
28,Teen Apollo,3,4.99,74,25.99,G,Travel,4.99,1,6,20,11,6,21,12,1,Ryan Salisbury
29,Virtual Spoilers,3,4.99,144,14.99,NC-17,Family,8.99,1,6,20,16,6,27,19,7,Ryan Salisbury
30,Devil Desire,6,4.99,87,12.99,R,Action,7.99,1,6,21,9,6,30,12,9,Ryan Salisbury
31,Dirty Ace,7,2.99,147,29.99,NC-17,Games,2.99,1,6,16,9,6,20,14,4,Roger Quintanilla
32,Command Darling,5,4.99,120,28.99,PG-13,Foreign,8.99,1,6,17,14,6,26,8,8,Roger Quintanilla
33,Primary Glass,7,0.99,53,16.99,G,Action,0.99,1,6,18,23,6,20,21,1,Roger Quintanilla
34,Spy Mile,6,2.99,112,13.99,PG-13,Games,2.99,1,6,15,1,6,20,0,4,Joe Gilliland
35,Christmas Moonshine,7,0.99,150,21.99,NC-17,Children,0.99,1,6,16,0,6,17,2,1,Joe Gilliland
36,Freddy Storm,6,4.99,65,21.99,NC-17,Horror,6.99,1,6,20,8,6,28,13,8,Joe Gilliland
37,Pinocchio Simon,4,4.99,103,21.99,PG,Comedy,8.99,1,6,20,13,6,28,19,8,Joe Gilliland
38,Club Graffiti,4,0.99,65,12.99,PG-13,Animation,3.99,1,6,17,11,6,24,6,6,Juan Fraley
39,Harper Dying,3,0.99,52,15.99,G,Animation,0.99,1,6,19,8,6,21,5,1,Juan Fraley
40,Insider Arizona,5,2.99,78,17.99,NC-17,Music,2.99,1,6,20,15,6,21,12,0,Juan Fraley
41,Japanese Run,6,0.99,135,29.99,G,Horror,0.99,1,6,21,0,6,22,5,1,Juan Fraley
42,Splash Gump,5,0.99,175,16.99,PG,Family,5.99,1,6,16,20,6,26,0,9,Jack Foust
43,Crooked Frogmen,6,0.99,143,27.99,PG-13,Children,0.99,1,6,17,2,6,19,21,2,Jack Foust
44,Cider Desire,7,2.99,101,9.99,PG,Documentary,2.99,1,6,19,17,6,24,21,5,Jack Foust
45,Sleuth Orient,4,0.99,87,25.99,NC-17,Games,0.99,1,6,15,21,6,17,21,1,Albert Crouse
46,Boogie Amelie,6,4.99,121,11.99,R,Music,4.99,1,6,16,9,6,18,13,2,Albert Crouse
47,Harry Idaho,5,4.99,121,18.99,PG-13,Drama,4.99,1,6,16,11,6,19,15,3,Albert Crouse
48,Apache Divine,5,4.99,92,16.99,NC-17,Family,4.99,1,6,16,19,6,19,15,2,Albert Crouse
49,Opus Ice,5,4.99,102,21.99,R,Foreign,4.99,1,6,21,9,6,26,4,4,Albert Crouse
50,Pond Seattle,7,2.99,185,25.99,PG-13,Animation,2.99,1,6,15,13,6,17,14,2,Jonathan Scarborough
51,Sagebrush Clueless,4,2.99,106,28.99,G,Documentary,7.99,1,6,17,6,6,26,8,9,Jonathan Scarborough
52,Searchers Wait,3,2.99,182,22.99,NC-17,Comedy,6.99,1,6,21,2,6,28,5,7,Jonathan Scarborough
53,Craft Outfield,6,0.99,64,17.99,NC-17,Drama,0.99,1,6,15,21,6,20,16,4,Justin Ngo
54,National Story,4,2.99,92,19.99,NC-17,Documentary,4.99,1,6,18,6,6,24,10,6,Justin Ngo
55,Easy Gladiator,5,4.99,148,12.99,G,Action,6.99,1,6,19,17,6,26,20,7,Justin Ngo
56,Santa Paris,7,2.99,154,23.99,PG,Children,2.99,1,6,20,19,6,23,16,2,Justin Ngo
57,Donnie Alley,4,0.99,125,20.99,NC-17,Animation,0.99,1,6,15,21,6,16,20,0,Terry Grissom
58,Patriot Roman,6,2.99,65,12.99,PG,Action,2.99,1,6,16,6,6,19,1,2,Terry Grissom
59,Congeniality Quest,6,0.99,87,21.99,PG-13,Sports,0.99,1,6,15,16,6,21,16,5,Gerald Fultz
60,Ship Wonderland,5,2.99,104,15.99,R,Documentary,2.99,1,6,18,16,6,21,19,3,Gerald Fultz
61,Dangerous Uptown,7,4.99,121,26.99,PG,Foreign,4.99,1,6,18,18,6,23,14,4,Gerald Fultz
62,Breakfast Goldfinger,5,4.99,123,18.99,G,New,5.99,1,6,15,5,6,21,2,5,Keith Rico
63,Spirited Casualties,5,0.99,138,20.99,PG-13,Sci-Fi,1.99,1,6,16,19,6,22,23,6,Keith Rico
64,Notorious Reunion,7,0.99,128,9.99,NC-17,Documentary,1.99,1,6,17,9,6,25,13,8,Keith Rico
65,Loser Hustler,5,4.99,80,28.99,PG,Sports,6.99,1,6,17,22,6,24,19,6,Keith Rico
66,Jade Bunch,6,2.99,174,21.99,NC-17,Sports,2.99,1,6,15,19,6,18,21,3,Samuel Marlow
67,Borrowers Bedazzled,7,0.99,63,22.99,G,Animation,0.99,1,6,17,5,6,19,3,1,Samuel Marlow
68,Searchers Wait,3,2.99,182,22.99,NC-17,Comedy,5.99,1,6,17,20,6,23,18,5,Samuel Marlow
69,Spinal Rocky,7,2.99,138,12.99,PG-13,Family,2.99,1,6,19,14,6,21,18,2,Samuel Marlow
70,Frida Slipper,6,2.99,73,11.99,R,Foreign,2.99,1,6,19,16,6,25,21,6,Samuel Marlow
71,Ice Crossing,5,2.99,131,28.99,R,Games,2.99,1,6,21,3,6,25,8,4,Samuel Marlow
72,Driving Polish,6,4.99,175,21.99,NC-17,Music,4.99,1,6,15,11,6,17,16,2,Willie Markham
73,Goldmine Tycoon,6,0.99,153,20.99,R,Sci-Fi,1.99,1,6,16,18,6,23,23,7,Willie Markham
74,Alone Trip,3,0.99,82,14.99,R,Music,0.99,1,6,18,16,6,19,13,0,Willie Markham
75,Wonderland Christmas,4,4.99,111,19.99,PG,Sci-Fi,4.99,1,6,19,15,6,21,13,1,Willie Markham
76,Tracy Cider,3,0.99,142,29.99,G,Animation,0.99,1,6,15,21,6,17,17,1,Ralph Madrigal
77,Network Peak,5,2.99,75,23.99,PG-13,Family,6.99,1,6,18,16,6,27,14,8,Ralph Madrigal
78,Angels Life,3,2.99,74,15.99,G,New,3.99,1,6,19,2,6,23,23,4,Ralph Madrigal
79,Forrester Comancheros,7,4.99,112,22.99,NC-17,Animation,6.99,1,6,19,18,6,28,22,9,Ralph Madrigal
80,Quills Bull,4,4.99,112,19.99,R,Documentary,4.99,1,6,18,12,6,19,13,1,Lawrence Lawton
81,Orange Grapes,4,0.99,76,21.99,PG-13,Foreign,1.99,1,6,19,3,6,24,5,5,Lawrence Lawton
82,Invasion Cyclone,5,2.99,97,12.99,PG,Children,2.99,1,6,19,23,6,22,17,2,Lawrence Lawton
83,Fury Murder,3,0.99,178,28.99,PG-13,Children,2.99,1,6,21,7,6,26,13,5,Lawrence Lawton
84,Tomorrow Hustler,3,2.99,142,21.99,R,Classics,2.99,1,6,15,18,6,18,16,2,Nicholas Barfield
85,Gone Trouble,7,2.99,84,20.99,R,Drama,2.99,1,6,16,0,6,22,18,6,Nicholas Barfield
86,Story Side,7,0.99,163,27.99,R,Action,2.99,1,6,16,7,6,25,8,9,Nicholas Barfield
87,Halloween Nuts,6,2.99,47,19.99,PG-13,Documentary,2.99,1,6,21,0,6,23,0,2,Nicholas Barfield
88,Giant Troopers,5,2.99,102,10.99,R,Children,2.99,1,6,21,15,6,25,19,4,Nicholas Barfield
89,Waterfront Deliverance,4,4.99,61,17.99,G,Action,4.99,1,6,15,18,6,18,22,3,Roy Whiting
90,Streetcar Intentions,5,4.99,73,11.99,R,Horror,4.99,1,6,16,3,6,18,21,2,Roy Whiting
91,Dying Maker,5,4.99,168,28.99,PG,Comedy,4.99,1,6,17,0,6,20,21,3,Roy Whiting
92,Velvet Terminator,3,4.99,173,14.99,R,Comedy,4.99,1,6,19,2,6,20,22,1,Roy Whiting
93,Sweet Brotherhood,3,2.99,185,27.99,R,Travel,2.99,1,6,21,6,6,24,11,3,Roy Whiting
94,Instinct Airport,4,2.99,116,21.99,PG,Sports,2.99,1,6,16,15,6,19,13,2,Benjamin Varney
95,Telemark Heartbreakers,6,2.99,152,9.99,PG-13,Animation,2.99,1,6,18,18,6,22,16,3,Benjamin Varney
96,Tourist Pelican,4,4.99,152,18.99,PG-13,Sports,4.99,1,6,19,6,6,21,3,1,Benjamin Varney
97,October Submarine,6,4.99,54,10.99,PG-13,Classics,4.99,1,6,19,23,6,25,4,5,Benjamin Varney
98,Pajama Jawbreaker,3,0.99,126,14.99,R,Classics,3.99,1,6,20,7,6,26,4,5,Benjamin Varney
99,Hours Rage,4,0.99,122,14.99,NC-17,New,1.99,1,6,15,9,6,20,14,5,Bruce Schwarz
100,Roses Treasure,5,4.99,162,23.99,PG-13,Sports,6.99,1,6,16,4,6,23,7,7,Bruce Schwarz
101,Home Pity,7,4.99,185,15.99,R,Music,4.99,1,6,17,10,6,24,5,6,Bruce Schwarz
102,Escape Metropolis,7,2.99,167,20.99,R,Travel,2.99,1,6,19,0,6,24,19,5,Bruce Schwarz
103,Jedi Beneath,7,0.99,128,12.99,PG,Family,0.99,1,6,20,21,6,21,23,1,Bruce Schwarz
104,Tights Dawn,5,0.99,172,14.99,R,Sports,1.99,1,6,15,16,6,21,11,5,Brandon Huey
105,Lose Inch,3,0.99,137,18.99,R,Foreign,0.99,1,6,18,2,6,18,23,0,Brandon Huey
106,Siege Madre,7,0.99,111,23.99,R,Family,0.99,1,6,20,15,6,24,16,4,Adam Gooch
107,Frost Head,5,0.99,82,13.99,PG,Classics,0.99,0,6,15,0,6,16,2,1,Harry Arce
108,Dude Blindness,3,4.99,132,9.99,G,Sports,9.99,0,6,15,22,6,23,1,7,Harry Arce
109,Coma Head,6,4.99,109,10.99,NC-17,Travel,4.99,0,6,19,1,6,22,1,3,Harry Arce
110,Boiled Dares,7,4.99,102,13.99,PG,Travel,4.99,0,6,19,13,6,24,15,5,Harry Arce
111,Wonderland Christmas,4,4.99,111,19.99,PG,Sci-Fi,4.99,0,6,19,16,6,22,11,2,Harry Arce
112,Kwai Homeward,5,0.99,46,25.99,PG-13,Drama,4.99,0,6,21,5,6,30,0,8,Harry Arce
113,Gables Metropolis,3,0.99,161,17.99,PG,Family,0.99,1,6,15,3,6,17,3,2,Fred Wheat
114,Massacre Usual,6,4.99,165,16.99,R,Games,6.99,1,6,15,1,6,23,2,8,Wayne Truong
115,Shock Cabin,7,2.99,79,15.99,PG-13,Foreign,2.99,1,6,15,3,6,17,6,2,Billy Poulin
116,Banger Pinocchio,5,0.99,113,15.99,R,Music,1.99,1,6,15,3,6,21,22,6,Billy Poulin
117,World Leathernecks,3,0.99,171,13.99,PG-13,Horror,6.99,1,6,16,3,6,25,4,9,Billy Poulin
118,Peak Forever,7,4.99,80,25.99,PG,Sports,5.99,1,6,16,11,6,24,6,7,Billy Poulin
119,Bound Cheaper,5,0.99,98,17.99,PG,Classics,0.99,1,6,19,22,6,20,21,0,Billy Poulin
120,Hope Tootsie,4,2.99,139,22.99,NC-17,Classics,3.99,1,6,20,22,6,25,2,4,Billy Poulin
121,Mourning Purple,5,0.99,146,14.99,PG,Sci-Fi,0.99,1,6,21,15,6,23,10,1,Billy Poulin
122,Murder Antitrust,6,2.99,166,11.99,PG,Children,2.99,1,6,18,9,6,22,11,4,Steve Mackenzie
123,Trip Newton,7,4.99,64,14.99,PG-13,Action,4.99,1,6,20,7,6,27,3,6,Steve Mackenzie
124,Suspects Quills,4,2.99,47,22.99,PG,Action,3.99,1,6,21,6,6,26,10,5,Steve Mackenzie
125,Unbreakable Karate,3,0.99,62,16.99,G,New,6.99,1,6,15,20,6,24,21,9,Louis Leone
126,Exorcist Sting,6,2.99,167,17.99,G,Sports,2.99,1,6,20,21,6,21,18,0,Louis Leone
127,Impact Aladdin,6,0.99,180,20.99,PG-13,Music,1.99,1,6,16,1,6,23,22,7,Jeremy Hurtado
128,Crooked Frogmen,6,0.99,143,27.99,PG-13,Children,1.99,1,6,17,14,6,24,16,7,Jeremy Hurtado
129,Sleepless Monsoon,5,4.99,64,12.99,G,Animation,4.99,1,6,18,21,6,23,21,4,Jeremy Hurtado
130,Balloon Homeward,5,2.99,75,10.99,NC-17,Music,2.99,1,6,19,9,6,22,9,3,Jeremy Hurtado
131,Muscle Bright,7,2.99,185,23.99,G,Travel,2.99,1,6,15,16,6,16,20,1,Aaron Selby
132,Arachnophobia Rollercoaster,4,2.99,147,24.99,PG-13,Horror,5.99,1,6,15,21,6,22,19,6,Aaron Selby
133,Sweden Shining,6,4.99,176,19.99,PG,Comedy,4.99,1,6,18,4,6,23,4,4,Aaron Selby
134,Coast Rainbow,4,0.99,55,20.99,PG,Documentary,0.99,1,6,15,2,6,18,0,2,Randy Gaither
135,Detective Vision,4,0.99,143,16.99,PG-13,Classics,0.99,1,6,19,18,6,23,18,4,Randy Gaither
136,Angels Life,3,2.99,74,15.99,G,New,3.99,1,6,19,3,6,23,23,4,Howard Fortner
137,Anaconda Confessions,3,0.99,92,9.99,R,Animation,1.99,1,6,20,15,6,24,11,3,Howard Fortner
138,Westward Seabiscuit,7,0.99,52,11.99,NC-17,Classics,0.99,1,6,20,15,6,25,19,5,Howard Fortner
139,Robbers Joon,7,2.99,102,26.99,PG-13,Children,2.99,1,6,20,19,6,22,23,2,Howard Fortner
140,Gilmore Boiled,5,0.99,163,29.99,R,Classics,4.99,1,6,21,20,6,30,15,8,Howard Fortner
141,Wizard Coldblooded,4,4.99,75,12.99,PG,Music,4.99,1,6,16,7,6,17,3,0,Eugene Culpepper
142,Secret Groundhog,6,4.99,90,11.99,PG,Documentary,5.99,1,6,16,10,6,23,13,7,Eugene Culpepper
143,Gorgeous Bingo,4,2.99,108,26.99,R,Children,7.99,1,6,17,21,6,26,16,8,Eugene Culpepper
144,Super Wyoming,5,4.99,58,10.99,PG,Family,4.99,1,6,19,14,6,20,17,1,Eugene Culpepper
145,Enemy Odds,5,4.99,77,23.99,NC-17,Music,8.99,1,6,15,15,6,24,18,9,Carlos Coughlin
146,Pollock Deliverance,5,2.99,137,14.99,PG,Foreign,5.99,1,6,18,8,6,26,10,8,Carlos Coughlin
147,Divide Monster,6,2.99,68,13.99,PG-13,Sci-Fi,2.99,1,6,20,4,6,26,2,5,Carlos Coughlin
148,Lock Rear,7,2.99,120,10.99,R,Travel,3.99,1,6,17,2,6,25,4,8,Russell Brinson
149,Rugrats Shakespeare,4,0.99,109,16.99,PG-13,Action,2.99,1,6,17,10,6,23,8,5,Russell Brinson
150,Ending Crowds,6,0.99,85,10.99,NC-17,New,3.99,1,6,17,12,6,26,13,9,Russell Brinson
151,Northwest Polish,5,2.99,172,24.99,PG,Sports,2.99,1,6,18,18,6,22,12,3,Russell Brinson
152,Bubble Grosse,4,4.99,60,20.99,R,Sports,4.99,1,6,18,20,6,20,19,1,Russell Brinson
153,English Bulworth,3,0.99,51,18.99,PG-13,Sci-Fi,1.99,1,6,20,9,6,24,6,3,Russell Brinson
154,Sorority Queen,6,0.99,184,17.99,NC-17,Foreign,1.99,1,6,20,16,6,27,12,6,Russell Brinson
155,Show Lord,3,4.99,167,24.99,PG-13,Documentary,4.99,1,6,21,3,6,23,3,1,Russell Brinson
156,Holy Tadpole,6,0.99,88,20.99,R,Classics,3.99,1,6,15,16,6,24,19,9,Bobby Boudreau
157,Ridgemont Submarine,3,0.99,46,28.99,PG-13,New,1.99,1,6,17,2,6,21,3,4,Bobby Boudreau
158,Bear Graceland,4,2.99,160,20.99,R,Children,2.99,1,6,18,16,6,20,12,1,Bobby Boudreau
159,Mulan Moon,4,0.99,160,10.99,G,Comedy,4.99,1,6,18,17,6,26,16,7,Bobby Boudreau
160,Wrong Behavior,6,2.99,178,10.99,PG-13,Children,2.99,1,6,21,18,6,27,22,6,Bobby Boudreau
161,Club Graffiti,4,0.99,65,12.99,PG-13,Animation,0.99,1,6,18,15,6,21,12,2,Victor Barkley
162,Hanover Galaxy,5,4.99,47,21.99,NC-17,Music,4.99,1,6,18,20,6,23,14,4,Victor Barkley
163,Sweethearts Suspects,3,0.99,108,13.99,G,Children,1.99,1,6,18,22,6,22,2,3,Victor Barkley
164,Mask Peach,6,2.99,123,26.99,NC-17,New,2.99,1,6,18,23,6,23,21,4,Victor Barkley
165,Requiem Tycoon,6,4.99,167,25.99,R,Classics,4.99,1,6,20,18,6,21,15,0,Victor Barkley
166,Metropolis Coma,4,2.99,64,9.99,PG-13,Sci-Fi,7.99,1,6,16,22,6,25,23,9,Martin Bales
167,Butterfly Chocolat,3,0.99,89,17.99,G,New,2.99,1,6,18,3,6,23,0,4,Martin Bales
168,Horn Working,4,2.99,95,23.99,PG,Animation,2.99,1,6,18,5,6,21,8,3,Martin Bales
169,Labyrinth League,6,2.99,46,24.99,PG-13,Children,2.99,1,6,18,9,6,23,7,4,Martin Bales
170,Jingle Sagebrush,6,4.99,124,29.99,PG-13,Classics,7.99,1,6,19,7,6,28,12,9,Martin Bales
171,Crazy Home,7,2.99,136,24.99,PG,Comedy,2.99,1,6,20,16,6,22,21,2,Martin Bales
172,None Spiking,3,0.99,83,18.99,NC-17,Sci-Fi,0.99,1,6,17,9,6,20,3,2,Ernest Stepp
173,Highball Potter,6,0.99,110,10.99,R,Foreign,0.99,1,6,17,12,6,19,14,2,Ernest Stepp
174,Name Detective,5,4.99,178,11.99,PG-13,Games,7.99,1,6,18,14,6,26,18,8,Ernest Stepp
175,Stagecoach Armageddon,5,4.99,112,25.99,R,Action,5.99,1,6,18,23,6,24,0,5,Ernest Stepp
176,Motions Details,5,0.99,166,16.99,PG,Horror,3.99,1,6,20,5,6,28,9,8,Ernest Stepp
177,Pelican Comforts,4,4.99,48,17.99,PG,Documentary,9.99,1,6,20,15,6,29,13,8,Ernest Stepp
178,Greatest North,5,2.99,93,24.99,NC-17,Music,4.99,1,6,20,16,6,27,18,7,Ernest Stepp
179,Vacation Boondock,4,2.99,145,23.99,R,Sci-Fi,2.99,1,6,16,16,6,19,11,2,Phillip Holm
180,Encino Elf,6,0.99,143,9.99,G,Games,0.99,1,6,17,7,6,21,4,3,Phillip Holm
181,Annie Identity,3,0.99,86,15.99,G,Sci-Fi,0.99,1,6,20,17,6,21,11,0,Phillip Holm
182,Graduate Lord,7,2.99,156,14.99,G,Children,3.99,1,6,16,4,6,24,0,7,Todd Tan
183,Maude Mod,6,0.99,72,20.99,R,Foreign,2.99,1,6,16,6,6,24,5,7,Todd Tan
184,Gone Trouble,7,2.99,84,20.99,R,Drama,5.99,1,6,16,21,6,26,1,9,Todd Tan
185,Chainsaw Uptown,6,0.99,114,25.99,PG,Sci-Fi,0.99,1,6,19,15,6,25,19,6,Todd Tan
186,Gangs Pride,4,2.99,185,27.99,PG-13,Animation,2.99,1,6,21,11,6,23,7,1,Todd Tan
187,Tomatoes Hellfighters,6,0.99,68,23.99,PG,Travel,0.99,1,6,15,20,6,17,14,1,Jesse Schilling
188,Chainsaw Uptown,6,0.99,114,25.99,PG,Sci-Fi,0.99,1,6,15,20,6,18,23,3,Jesse Schilling
189,Unforgiven Zoolander,7,0.99,129,15.99,PG,Sci-Fi,0.99,1,6,17,16,6,20,11,2,Jesse Schilling
190,Juggler Hardly,4,0.99,54,14.99,PG-13,Animation,0.99,1,6,17,18,6,19,21,2,Jesse Schilling
191,Campus Remember,5,2.99,167,27.99,R,Action,5.99,1,6,20,8,6,28,9,8,Jesse Schilling
192,Airplane Sierra,6,4.99,62,28.99,PG-13,Comedy,4.99,1,6,21,13,6,25,9,3,Jesse Schilling
193,Forrester Comancheros,7,4.99,112,22.99,NC-17,Animation,6.99,1,6,15,8,6,24,2,8,Craig Morrell
194,Banger Pinocchio,5,0.99,113,15.99,R,Music,0.99,1,6,17,22,6,18,21,0,Craig Morrell
195,Scalawag Duck,6,4.99,183,13.99,NC-17,Music,5.99,1,6,19,1,6,26,2,7,Craig Morrell
196,Prejudice Oleander,6,4.99,98,15.99,PG-13,Classics,4.99,1,6,19,13,6,21,16,2,Craig Morrell
197,Airplane Sierra,6,4.99,62,28.99,PG-13,Comedy,7.99,1,6,20,21,6,29,19,8,Craig Morrell
198,Hollow Jeopardy,7,4.99,136,25.99,NC-17,Sci-Fi,4.99,1,6,16,17,6,20,17,3,Alan Kahn
199,Ladybugs Armageddon,4,0.99,113,13.99,NC-17,Games,4.99,1,6,17,7,6,25,6,7,Alan Kahn
200,Chill Luck,6,0.99,142,17.99,PG,Drama,3.99,1,6,19,3,6,28,4,9,Alan Kahn
201,Bear Graceland,4,2.99,160,20.99,R,Children,5.99,1,6,16,1,6,23,3,7,Shawn Heaton
202,Fantasia Park,5,2.99,131,29.99,G,Games,2.99,1,6,16,15,6,19,12,2,Shawn Heaton
203,Robbers Joon,7,2.99,102,26.99,PG-13,Children,2.99,1,6,17,4,6,23,23,6,Shawn Heaton
204,Vampire Whale,4,4.99,126,11.99,NC-17,New,7.99,1,6,18,10,6,25,10,7,Shawn Heaton
205,Chamber Italian,7,4.99,117,14.99,NC-17,Music,5.99,1,6,20,20,6,28,20,7,Shawn Heaton
206,Mourning Purple,5,0.99,146,14.99,PG,Sci-Fi,0.99,1,6,15,4,6,17,6,2,Clarence Gamez
207,Feud Frogmen,6,0.99,98,29.99,R,Family,0.99,1,6,17,6,6,22,8,5,Clarence Gamez
208,Carrie Bunch,7,0.99,114,11.99,PG,Horror,2.99,1,6,17,14,6,26,13,8,Clarence Gamez
209,Fantasy Troopers,6,0.99,58,27.99,PG-13,Action,2.99,1,6,19,13,6,27,14,8,Clarence Gamez
210,Mile Mulan,4,0.99,64,10.99,PG,Sports,2.99,1,6,20,21,6,26,15,5,Clarence Gamez
211,Lolita World,4,2.99,155,25.99,NC-17,Family,6.99,1,6,16,0,6,24,2,8,Sean Douglass
212,Clash Freddy,6,2.99,81,12.99,G,Animation,2.99,1,6,16,17,6,21,20,5,Sean Douglass
213,Hunting Musketeers,6,2.99,65,24.99,NC-17,Family,2.99,1,6,18,7,6,24,11,6,Sean Douglass
214,Rush Goodfellas,3,0.99,48,20.99,PG,Family,4.99,1,6,20,2,6,27,21,7,Sean Douglass
215,Greatest North,5,2.99,93,24.99,NC-17,Music,6.99,1,6,16,6,6,25,6,8,Philip Causey
216,Midnight Westward,3,0.99,86,19.99,G,Action,1.99,1,6,17,5,6,21,7,4,Philip Causey
217,Heaven Freedom,7,2.99,48,19.99,PG,Comedy,2.99,1,6,18,3,6,22,1,3,Philip Causey
218,Forward Temple,6,2.99,90,25.99,NC-17,Games,4.99,1,6,18,9,6,26,14,8,Philip Causey
219,Outbreak Divine,6,0.99,169,12.99,NC-17,Games,2.99,1,6,20,9,6,28,5,7,Philip Causey
220,Coma Head,6,4.99,109,10.99,NC-17,Travel,4.99,1,6,15,11,6,17,7,1,Chris Brothers
221,Alaska Phantom,6,0.99,136,22.99,PG,Music,0.99,1,6,15,7,6,18,11,3,Johnny Turpin
222,Celebrity Horn,7,0.99,110,24.99,PG-13,Action,0.99,1,6,16,2,6,23,0,6,Johnny Turpin
223,Reunion Witches,3,0.99,63,26.99,R,Drama,0.99,1,6,16,6,6,17,6,0,Johnny Turpin
224,Frisco Forrest,6,4.99,51,23.99,PG,Sci-Fi,4.99,1,6,20,11,6,24,10,3,Johnny Turpin
225,Graffiti Love,3,0.99,117,29.99,PG,Sci-Fi,0.99,1,6,21,8,6,22,4,0,Johnny Turpin
226,Closer Bang,5,4.99,58,12.99,R,Comedy,6.99,1,6,21,14,6,28,18,7,Johnny Turpin
227,Cheaper Clyde,6,0.99,87,23.99,G,Sci-Fi,1.99,1,6,15,14,6,22,19,7,Earl Shanks
228,Thin Sagebrush,5,4.99,53,9.99,PG-13,Documentary,4.99,1,6,15,15,6,18,18,3,Earl Shanks
229,Miracle Virtual,3,2.99,162,19.99,PG-13,Animation,6.99,1,6,15,16,6,22,21,7,Earl Shanks
230,Edge Kissing,5,4.99,153,9.99,NC-17,Drama,5.99,1,6,16,18,6,22,12,5,Jimmy Schrader
231,Taxi Kick,4,0.99,64,23.99,PG-13,Music,1.99,1,6,20,11,6,25,15,5,Jimmy Schrader
232,Window Side,3,2.99,85,25.99,R,Travel,2.99,1,6,15,3,6,17,22,2,Antonio Meek
233,Bucket Brotherhood,7,4.99,133,27.99,PG,Travel,6.99,1,6,17,17,6,26,13,8,Antonio Meek
234,Hall Cassidy,5,4.99,51,13.99,NC-17,Children,9.99,1,6,20,19,6,30,0,9,Antonio Meek
235,Worst Banger,4,2.99,185,26.99,PG,Action,2.99,1,6,20,7,6,24,8,4,Danny Isom
