inventory_id,film_id,title,rental_duration,rental_rate,length,replacement_cost,rating,category,language,store_id,rental_id,rental_date,return_date,payment_id,amount,customer_id,first_name,last_name,active
1834,398,Hanover Galaxy,5,4.99,47,21.99,NC-17,Music,English             ,2,1475,15-06-2005 21:08,18-06-2005 22:33,17520,4.99,344,Henry,Billingsley,1
3698,809,Slipper Fidelity,5,0.99,156,14.99,PG-13,Sports,English             ,2,1731,16-06-2005 15:32,19-06-2005 18:58,17521,0.99,344,Henry,Billingsley,1
7,1,Academy Dinosaur,6,0.99,86,20.99,PG,Documentary,English             ,2,1210,15-06-2005 02:57,20-06-2005 01:41,17522,0.99,345,Carl,Artis,1
730,159,Closer Bang,5,4.99,58,12.99,R,Comedy,English             ,2,1457,15-06-2005 20:05,19-06-2005 15:35,17523,4.99,345,Carl,Artis,1
2003,436,Hours Rage,4,0.99,122,14.99,NC-17,New,English             ,2,1550,16-06-2005 01:58,18-06-2005 23:56,17524,0.99,345,Carl,Artis,1
3421,749,Rules Human,6,4.99,153,19.99,R,Horror,English             ,2,2766,19-06-2005 17:45,23-06-2005 20:11,17525,4.99,345,Carl,Artis,1
2203,476,Jason Trap,5,2.99,130,9.99,NC-17,Family,English             ,2,1994,17-06-2005 11:07,25-06-2005 08:32,17526,5.99,346,Arthur,Simpkins,1
4169,906,Tramp Others,4,0.99,171,27.99,PG,Comedy,English             ,2,3372,21-06-2005 13:34,27-06-2005 08:41,17527,2.99,346,Arthur,Simpkins,1
3930,857,Strictly Scarface,3,2.99,144,24.99,PG-13,Comedy,English             ,1,3421,21-06-2005 17:22,24-06-2005 18:57,17528,2.99,346,Arthur,Simpkins,1
273,61,Beauty Grease,5,4.99,175,28.99,G,Drama,English             ,1,1711,16-06-2005 14:11,25-06-2005 08:49,17529,8.99,347,Ryan,Salisbury,1
3021,663,Patient Sister,7,0.99,99,29.99,NC-17,Classics,English             ,2,2274,18-06-2005 06:31,21-06-2005 01:24,17530,0.99,347,Ryan,Salisbury,1
4032,878,Teen Apollo,3,4.99,74,25.99,G,Travel,English             ,2,3026,20-06-2005 11:48,21-06-2005 12:51,17531,4.99,347,Ryan,Salisbury,1
4344,946,Virtual Spoilers,3,4.99,144,14.99,NC-17,Family,English             ,2,3092,20-06-2005 16:04,27-06-2005 19:54,17532,8.99,347,Ryan,Salisbury,1
1025,229,Devil Desire,6,4.99,87,12.99,R,Action,English             ,2,3326,21-06-2005 09:04,30-06-2005 12:10,17533,7.99,347,Ryan,Salisbury,1
1039,232,Dirty Ace,7,2.99,147,29.99,NC-17,Games,English             ,1,1654,16-06-2005 09:42,20-06-2005 14:28,17534,2.99,348,Roger,Quintanilla,1
782,170,Command Darling,5,4.99,120,28.99,PG-13,Foreign,English             ,2,2041,17-06-2005 14:19,26-06-2005 08:38,17535,8.99,348,Roger,Quintanilla,1
3172,697,Primary Glass,7,0.99,53,16.99,G,Action,English             ,1,2499,18-06-2005 23:01,20-06-2005 21:50,17536,0.99,348,Roger,Quintanilla,1
3812,835,Spy Mile,6,2.99,112,13.99,PG-13,Games,English             ,1,1197,15-06-2005 01:42,20-06-2005 00:22,17537,2.99,349,Joe,Gilliland,1
681,149,Christmas Moonshine,7,0.99,150,21.99,NC-17,Children,English             ,2,1523,16-06-2005 00:18,17-06-2005 02:50,17538,0.99,349,Joe,Gilliland,1
1531,334,Freddy Storm,6,4.99,65,21.99,NC-17,Horror,English             ,2,2987,20-06-2005 08:55,28-06-2005 13:02,17539,6.99,349,Joe,Gilliland,1
3094,680,Pinocchio Simon,4,4.99,103,21.99,PG,Comedy,English             ,2,3067,20-06-2005 13:59,28-06-2005 19:09,17540,8.99,349,Joe,Gilliland,1
734,160,Club Graffiti,4,0.99,65,12.99,PG-13,Animation,English             ,2,2011,17-06-2005 11:56,24-06-2005 06:47,17541,3.99,350,Juan,Fraley,1
1848,402,Harper Dying,3,0.99,52,15.99,G,Animation,English             ,2,2619,19-06-2005 08:03,21-06-2005 05:02,17542,0.99,350,Juan,Fraley,1
2135,462,Insider Arizona,5,2.99,78,17.99,NC-17,Music,English             ,1,3079,20-06-2005 15:13,21-06-2005 12:03,17543,2.99,350,Juan,Fraley,1
2196,475,Japanese Run,6,0.99,135,29.99,G,Horror,English             ,2,3206,21-06-2005 00:39,22-06-2005 05:12,17544,0.99,350,Juan,Fraley,1
3800,832,Splash Gump,5,0.99,175,16.99,PG,Family,English             ,1,1792,16-06-2005 20:04,26-06-2005 00:57,17545,5.99,351,Jack,Foust,1
871,191,Crooked Frogmen,6,0.99,143,27.99,PG-13,Children,English             ,2,1869,17-06-2005 02:08,19-06-2005 21:43,17546,0.99,351,Jack,Foust,1
687,150,Cider Desire,7,2.99,101,9.99,PG,Documentary,English             ,2,2759,19-06-2005 17:10,24-06-2005 21:56,17547,2.99,351,Jack,Foust,1
3690,807,Sleuth Orient,4,0.99,87,25.99,NC-17,Games,English             ,1,1498,15-06-2005 21:58,17-06-2005 21:50,17548,0.99,352,Albert,Crouse,1
390,86,Boogie Amelie,6,4.99,121,11.99,R,Music,English             ,1,1649,16-06-2005 09:20,18-06-2005 13:42,17549,4.99,352,Albert,Crouse,1
1856,403,Harry Idaho,5,4.99,121,18.99,PG-13,Drama,English             ,2,1678,16-06-2005 11:08,19-06-2005 15:44,17550,4.99,352,Albert,Crouse,1
146,31,Apache Divine,5,4.99,92,16.99,NC-17,Family,English             ,1,1780,16-06-2005 19:11,19-06-2005 15:34,17551,4.99,352,Albert,Crouse,1
2913,640,Opus Ice,5,4.99,102,21.99,R,Foreign,English             ,2,3331,21-06-2005 09:37,26-06-2005 04:01,17552,4.99,352,Albert,Crouse,1
3140,690,Pond Seattle,7,2.99,185,25.99,PG-13,Animation,English             ,1,1359,15-06-2005 13:30,17-06-2005 14:55,17553,2.99,353,Jonathan,Scarborough,1
3454,757,Sagebrush Clueless,4,2.99,106,28.99,G,Documentary,English             ,2,1928,17-06-2005 06:48,26-06-2005 08:17,17554,7.99,353,Jonathan,Scarborough,1
3542,774,Searchers Wait,3,2.99,182,22.99,NC-17,Comedy,English             ,1,3233,21-06-2005 02:39,28-06-2005 05:23,17555,6.99,353,Jonathan,Scarborough,1
848,186,Craft Outfield,6,0.99,64,17.99,NC-17,Drama,English             ,1,1491,15-06-2005 21:48,20-06-2005 16:40,17556,0.99,354,Justin,Ngo,1
2805,616,National Story,4,2.99,92,19.99,NC-17,Documentary,English             ,1,2275,18-06-2005 06:31,24-06-2005 10:04,17557,4.99,354,Justin,Ngo,1
1222,271,Easy Gladiator,5,4.99,148,12.99,G,Action,English             ,1,2769,19-06-2005 17:52,26-06-2005 20:30,17558,6.99,354,Justin,Ngo,1
3474,761,Santa Paris,7,2.99,154,23.99,PG,Children,English             ,2,3139,20-06-2005 19:44,23-06-2005 16:24,17559,2.99,354,Justin,Ngo,1
1081,241,Donnie Alley,4,0.99,125,20.99,NC-17,Animation,English             ,1,1488,15-06-2005 21:39,16-06-2005 20:33,17560,0.99,355,Terry,Grissom,1
3025,664,Patriot Roman,6,2.99,65,12.99,PG,Action,English             ,2,1612,16-06-2005 06:52,19-06-2005 01:51,17561,2.99,355,Terry,Grissom,1
809,176,Congeniality Quest,6,0.99,87,21.99,PG-13,Sports,English             ,1,1410,15-06-2005 16:59,21-06-2005 16:38,17562,0.99,356,Gerald,Fultz,1
3604,788,Ship Wonderland,5,2.99,104,15.99,R,Documentary,English             ,1,2405,18-06-2005 16:36,21-06-2005 19:15,17563,2.99,356,Gerald,Fultz,1
937,207,Dangerous Uptown,7,4.99,121,26.99,PG,Foreign,English             ,1,2433,18-06-2005 18:10,23-06-2005 14:46,17564,4.99,356,Gerald,Fultz,1
431,95,Breakfast Goldfinger,5,4.99,123,18.99,G,New,English             ,2,1246,15-06-2005 05:11,21-06-2005 02:21,17565,5.99,357,Keith,Rico,1
3794,831,Spirited Casualties,5,0.99,138,20.99,PG-13,Sci-Fi,English             ,1,1788,16-06-2005 19:47,22-06-2005 23:10,17566,1.99,357,Keith,Rico,1
2870,629,Notorious Reunion,7,0.99,128,9.99,NC-17,Documentary,English             ,2,1971,17-06-2005 09:23,25-06-2005 13:20,17567,1.99,357,Keith,Rico,1
2440,532,Loser Hustler,5,4.99,80,28.99,PG,Sports,English             ,2,2153,17-06-2005 22:58,24-06-2005 19:38,17568,6.99,357,Keith,Rico,1
2194,474,Jade Bunch,6,2.99,174,21.99,NC-17,Sports,English             ,2,1455,15-06-2005 19:51,18-06-2005 21:54,17569,2.99,358,Samuel,Marlow,1
399,89,Borrowers Bedazzled,7,0.99,63,22.99,G,Animation,English             ,1,1908,17-06-2005 05:10,19-06-2005 03:52,17570,0.99,358,Samuel,Marlow,1
3541,774,Searchers Wait,3,2.99,182,22.99,NC-17,Comedy,English             ,1,2114,17-06-2005 20:00,23-06-2005 18:51,17571,5.99,358,Samuel,Marlow,1
3786,829,Spinal Rocky,7,2.99,138,12.99,PG-13,Family,English             ,1,2721,19-06-2005 14:53,21-06-2005 18:22,17572,2.99,358,Samuel,Marlow,1
1540,337,Frida Slipper,6,2.99,73,11.99,R,Foreign,English             ,1,2749,19-06-2005 16:27,25-06-2005 21:06,17573,2.99,358,Samuel,Marlow,1
2057,447,Ice Crossing,5,2.99,131,28.99,R,Games,English             ,1,3245,21-06-2005 03:06,25-06-2005 08:06,17574,2.99,358,Samuel,Marlow,1
1154,255,Driving Polish,6,4.99,175,21.99,NC-17,Music,English             ,1,1329,15-06-2005 11:25,17-06-2005 16:10,17575,4.99,359,Willie,Markham,1
1681,367,Goldmine Tycoon,6,0.99,153,20.99,R,Sci-Fi,English             ,1,1770,16-06-2005 18:07,23-06-2005 23:49,17576,1.99,359,Willie,Markham,1
85,17,Alone Trip,3,0.99,82,14.99,R,Music,English             ,2,2401,18-06-2005 16:22,19-06-2005 13:49,17577,0.99,359,Willie,Markham,1
4510,985,Wonderland Christmas,4,4.99,111,19.99,PG,Sci-Fi,English             ,1,2736,19-06-2005 15:43,21-06-2005 13:03,17578,4.99,359,Willie,Markham,1
4148,901,Tracy Cider,3,0.99,142,29.99,G,Animation,English             ,1,1492,15-06-2005 21:48,17-06-2005 17:18,17579,0.99,360,Ralph,Madrigal,1
2833,621,Network Peak,5,2.99,75,23.99,PG-13,Family,English             ,2,2402,18-06-2005 16:24,27-06-2005 14:39,17580,6.99,360,Ralph,Madrigal,1
129,25,Angels Life,3,2.99,74,15.99,G,New,English             ,2,2541,19-06-2005 02:08,23-06-2005 23:32,17581,3.99,360,Ralph,Madrigal,1
1513,330,Forrester Comancheros,7,4.99,112,22.99,NC-17,Animation,English             ,2,2780,19-06-2005 18:19,28-06-2005 22:29,17582,6.99,360,Ralph,Madrigal,1
3223,708,Quills Bull,4,4.99,112,19.99,R,Documentary,English             ,1,2353,18-06-2005 12:53,19-06-2005 13:53,17583,4.99,361,Lawrence,Lawton,1
2920,641,Orange Grapes,4,0.99,76,21.99,PG-13,Foreign,English             ,2,2558,19-06-2005 03:09,24-06-2005 05:29,17584,1.99,361,Lawrence,Lawton,1
2168,468,Invasion Cyclone,5,2.99,97,12.99,PG,Children,English             ,1,2851,19-06-2005 23:07,22-06-2005 17:26,17585,2.99,361,Lawrence,Lawton,1
1565,344,Fury Murder,3,0.99,178,28.99,PG-13,Children,English             ,1,3303,21-06-2005 07:34,26-06-2005 13:18,17586,2.99,361,Lawrence,Lawton,1
4116,895,Tomorrow Hustler,3,2.99,142,21.99,R,Classics,English             ,1,1429,15-06-2005 18:24,18-06-2005 16:30,17587,2.99,362,Nicholas,Barfield,1
1688,368,Gone Trouble,7,2.99,84,20.99,R,Drama,English             ,1,1529,16-06-2005 00:37,22-06-2005 18:58,17588,2.99,362,Nicholas,Barfield,1
3894,850,Story Side,7,0.99,163,27.99,R,Action,English             ,2,1615,16-06-2005 07:00,25-06-2005 08:53,17589,2.99,362,Nicholas,Barfield,1
1811,393,Halloween Nuts,6,2.99,47,19.99,PG-13,Documentary,English             ,1,3197,21-06-2005 00:07,23-06-2005 00:53,17590,2.99,362,Nicholas,Barfield,1
1631,356,Giant Troopers,5,2.99,102,10.99,R,Children,English             ,2,3393,21-06-2005 15:14,25-06-2005 19:54,17591,2.99,362,Nicholas,Barfield,1
4412,964,Waterfront Deliverance,4,4.99,61,17.99,G,Action,English             ,2,1426,15-06-2005 18:16,18-06-2005 22:15,17592,4.99,363,Roy,Whiting,1
3927,856,Streetcar Intentions,5,4.99,73,11.99,R,Horror,English             ,2,1569,16-06-2005 03:19,18-06-2005 21:55,17593,4.99,363,Roy,Whiting,1
1189,265,Dying Maker,5,4.99,168,28.99,PG,Comedy,English             ,1,1847,17-06-2005 00:05,20-06-2005 21:09,17594,4.99,363,Roy,Whiting,1
4305,938,Velvet Terminator,3,4.99,173,14.99,R,Comedy,English             ,1,2540,19-06-2005 02:04,20-06-2005 22:42,17595,4.99,363,Roy,Whiting,1
4006,872,Sweet Brotherhood,3,2.99,185,27.99,R,Travel,English             ,2,3281,21-06-2005 06:08,24-06-2005 11:22,17596,2.99,363,Roy,Whiting,1
2142,463,Instinct Airport,4,2.99,116,21.99,PG,Sports,English             ,2,1722,16-06-2005 15:12,19-06-2005 13:01,17597,2.99,364,Benjamin,Varney,1
4045,880,Telemark Heartbreakers,6,2.99,152,9.99,PG-13,Animation,English             ,2,2442,18-06-2005 18:49,22-06-2005 16:18,17598,2.99,364,Benjamin,Varney,1
4133,898,Tourist Pelican,4,4.99,152,18.99,PG-13,Sports,English             ,1,2606,19-06-2005 06:51,21-06-2005 03:15,17599,4.99,364,Benjamin,Varney,1
2886,633,October Submarine,6,4.99,54,10.99,PG-13,Classics,English             ,2,2857,19-06-2005 23:15,25-06-2005 04:24,17600,4.99,364,Benjamin,Varney,1
2978,652,Pajama Jawbreaker,3,0.99,126,14.99,R,Classics,English             ,1,2962,20-06-2005 07:31,26-06-2005 04:43,17601,3.99,364,Benjamin,Varney,1
2001,436,Hours Rage,4,0.99,122,14.99,NC-17,New,English             ,1,1303,15-06-2005 09:55,20-06-2005 14:26,17602,1.99,365,Bruce,Schwarz,1
3397,745,Roses Treasure,5,4.99,162,23.99,PG-13,Sports,English             ,2,1578,16-06-2005 04:08,23-06-2005 07:57,17603,6.99,365,Bruce,Schwarz,1
1955,426,Home Pity,7,4.99,185,15.99,R,Music,English             ,2,1983,17-06-2005 10:22,24-06-2005 05:04,17604,4.99,365,Bruce,Schwarz,1
1307,288,Escape Metropolis,7,2.99,167,20.99,R,Travel,English             ,2,2525,19-06-2005 00:48,24-06-2005 19:10,17605,2.99,365,Bruce,Schwarz,1
2217,479,Jedi Beneath,7,0.99,128,12.99,PG,Family,English             ,2,3156,20-06-2005 21:03,21-06-2005 23:32,17606,0.99,365,Bruce,Schwarz,1
4081,890,Tights Dawn,5,0.99,172,14.99,R,Sports,English             ,1,1401,15-06-2005 16:30,21-06-2005 11:07,17607,1.99,366,Brandon,Huey,1
2430,531,Lose Inch,3,0.99,137,18.99,R,Foreign,English             ,1,2214,18-06-2005 02:44,18-06-2005 23:37,17608,0.99,366,Brandon,Huey,1
3642,795,Siege Madre,7,0.99,111,23.99,R,Family,English             ,1,3078,20-06-2005 15:09,24-06-2005 16:54,17609,0.99,367,Adam,Gooch,1
1556,341,Frost Head,5,0.99,82,13.99,PG,Classics,English             ,2,1186,15-06-2005 00:56,16-06-2005 02:23,17610,0.99,368,Harry,Arce,0
1173,260,Dude Blindness,3,4.99,132,9.99,G,Sports,English             ,2,1513,15-06-2005 22:53,23-06-2005 01:00,17611,9.99,368,Harry,Arce,0
768,167,Coma Head,6,4.99,109,10.99,NC-17,Travel,English             ,2,2531,19-06-2005 01:20,22-06-2005 01:50,17612,4.99,368,Harry,Arce,0
380,84,Boiled Dares,7,4.99,102,13.99,PG,Travel,English             ,1,2694,19-06-2005 13:17,24-06-2005 15:09,17613,4.99,368,Harry,Arce,0
4511,985,Wonderland Christmas,4,4.99,111,19.99,PG,Sci-Fi,English             ,1,2744,19-06-2005 16:20,22-06-2005 11:44,17614,4.99,368,Harry,Arce,0
2320,504,Kwai Homeward,5,0.99,46,25.99,PG-13,Drama,English             ,1,3275,21-06-2005 05:33,30-06-2005 00:37,17615,4.99,368,Harry,Arce,0
1572,345,Gables Metropolis,3,0.99,161,17.99,PG,Family,English             ,1,1224,15-06-2005 03:44,17-06-2005 03:49,17616,0.99,369,Fred,Wheat,1
2572,563,Massacre Usual,6,4.99,165,16.99,R,Games,English             ,1,1190,15-06-2005 01:05,23-06-2005 02:34,17617,6.99,370,Wayne,Truong,1
3611,789,Shock Cabin,7,2.99,79,15.99,PG-13,Foreign,English             ,1,1212,15-06-2005 03:03,17-06-2005 06:31,17618,2.99,371,Billy,Poulin,1
239,54,Banger Pinocchio,5,0.99,113,15.99,R,Music,English             ,1,1218,15-06-2005 03:24,21-06-2005 22:45,17619,1.99,371,Billy,Poulin,1
4536,990,World Leathernecks,3,0.99,171,13.99,PG-13,Horror,English             ,2,1573,16-06-2005 03:31,25-06-2005 04:04,17620,6.99,371,Billy,Poulin,1
3048,668,Peak Forever,7,4.99,80,25.99,PG,Sports,English             ,2,1675,16-06-2005 11:04,24-06-2005 06:56,17621,5.99,371,Billy,Poulin,1
417,91,Bound Cheaper,5,0.99,98,17.99,PG,Classics,English             ,2,2837,19-06-2005 22:03,20-06-2005 21:24,17622,0.99,371,Billy,Poulin,1
1982,432,Hope Tootsie,4,2.99,139,22.99,NC-17,Classics,English             ,2,3176,20-06-2005 22:31,25-06-2005 02:58,17623,3.99,371,Billy,Poulin,1
2744,602,Mourning Purple,5,0.99,146,14.99,PG,Sci-Fi,English             ,1,3396,21-06-2005 15:23,23-06-2005 10:25,17624,0.99,371,Billy,Poulin,1
2766,608,Murder Antitrust,6,2.99,166,11.99,PG,Children,English             ,1,2315,18-06-2005 09:03,22-06-2005 11:18,17625,2.99,372,Steve,Mackenzie,1
4185,911,Trip Newton,7,4.99,64,14.99,PG-13,Action,English             ,2,2959,20-06-2005 07:07,27-06-2005 03:31,17626,4.99,372,Steve,Mackenzie,1
3988,869,Suspects Quills,4,2.99,47,22.99,PG,Action,English             ,2,3283,21-06-2005 06:19,26-06-2005 10:59,17627,3.99,372,Steve,Mackenzie,1
4233,920,Unbreakable Karate,3,0.99,62,16.99,G,New,English             ,2,1472,15-06-2005 20:54,24-06-2005 21:52,17628,6.99,373,Louis,Leone,1
1326,293,Exorcist Sting,6,2.99,167,17.99,G,Sports,English             ,1,3161,20-06-2005 21:21,21-06-2005 18:22,17629,2.99,373,Louis,Leone,1
2094,454,Impact Aladdin,6,0.99,180,20.99,PG-13,Music,English             ,1,1548,16-06-2005 01:43,23-06-2005 22:04,17630,1.99,374,Jeremy,Hurtado,1
872,191,Crooked Frogmen,6,0.99,143,27.99,PG-13,Children,English             ,2,2046,17-06-2005 14:39,24-06-2005 16:02,17631,1.99,374,Jeremy,Hurtado,1
3683,805,Sleepless Monsoon,5,4.99,64,12.99,G,Animation,English             ,2,2487,18-06-2005 21:32,23-06-2005 21:11,17632,4.99,374,Jeremy,Hurtado,1
231,51,Balloon Homeward,5,2.99,75,10.99,NC-17,Music,English             ,2,2641,19-06-2005 09:38,22-06-2005 09:55,17633,2.99,374,Jeremy,Hurtado,1
2776,609,Muscle Bright,7,2.99,185,23.99,G,Travel,English             ,2,1404,15-06-2005 16:38,16-06-2005 20:37,17634,2.99,375,Aaron,Selby,1
165,35,Arachnophobia Rollercoaster,4,2.99,147,24.99,PG-13,Horror,English             ,2,1499,15-06-2005 21:58,22-06-2005 19:37,17635,5.99,375,Aaron,Selby,1
4001,871,Sweden Shining,6,4.99,176,19.99,PG,Comedy,English             ,2,2236,18-06-2005 04:12,23-06-2005 04:07,17636,4.99,375,Aaron,Selby,1
750,164,Coast Rainbow,4,0.99,55,20.99,PG,Documentary,English             ,2,1208,15-06-2005 02:30,18-06-2005 00:04,17637,0.99,376,Randy,Gaither,1
1020,228,Detective Vision,4,0.99,143,16.99,PG-13,Classics,English             ,2,2779,19-06-2005 18:19,23-06-2005 18:25,17638,0.99,376,Randy,Gaither,1
125,25,Angels Life,3,2.99,74,15.99,G,New,English             ,1,2556,19-06-2005 03:07,23-06-2005 23:09,17639,3.99,377,Howard,Fortner,1
118,23,Anaconda Confessions,3,0.99,92,9.99,R,Animation,English             ,2,3080,20-06-2005 15:22,24-06-2005 11:08,17640,1.99,377,Howard,Fortner,1
4437,970,Westward Seabiscuit,7,0.99,52,11.99,NC-17,Classics,English             ,2,3086,20-06-2005 15:42,25-06-2005 19:21,17641,0.99,377,Howard,Fortner,1
3349,735,Robbers Joon,7,2.99,102,26.99,PG-13,Children,English             ,2,3136,20-06-2005 19:39,22-06-2005 23:35,17642,2.99,377,Howard,Fortner,1
1639,358,Gilmore Boiled,5,0.99,163,29.99,R,Classics,English             ,1,3443,21-06-2005 20:19,30-06-2005 15:39,17643,4.99,377,Howard,Fortner,1
4485,980,Wizard Coldblooded,4,4.99,75,12.99,PG,Music,English             ,1,1623,16-06-2005 07:48,17-06-2005 03:53,17644,4.99,378,Eugene,Culpepper,1
3552,776,Secret Groundhog,6,4.99,90,11.99,PG,Documentary,English             ,2,1662,16-06-2005 10:13,23-06-2005 13:54,17645,5.99,378,Eugene,Culpepper,1
1699,370,Gorgeous Bingo,4,2.99,108,26.99,R,Children,English             ,1,2134,17-06-2005 21:13,26-06-2005 16:28,17646,7.99,378,Eugene,Culpepper,1
3979,867,Super Wyoming,5,4.99,58,10.99,PG,Family,English             ,1,2713,19-06-2005 14:23,20-06-2005 17:55,17647,4.99,378,Eugene,Culpepper,1
1281,284,Enemy Odds,5,4.99,77,23.99,NC-17,Music,English             ,1,1383,15-06-2005 15:20,24-06-2005 18:42,17648,8.99,379,Carlos,Coughlin,1
3134,689,Pollock Deliverance,5,2.99,137,14.99,PG,Foreign,English             ,1,2313,18-06-2005 08:56,26-06-2005 10:30,17649,5.99,379,Carlos,Coughlin,1
1055,235,Divide Monster,6,2.99,68,13.99,PG-13,Sci-Fi,English             ,1,2926,20-06-2005 04:37,26-06-2005 02:17,17650,2.99,379,Carlos,Coughlin,1
2412,526,Lock Rear,7,2.99,120,10.99,R,Travel,English             ,2,1868,17-06-2005 02:03,25-06-2005 04:38,17651,3.99,380,Russell,Brinson,1
3417,748,Rugrats Shakespeare,4,0.99,109,16.99,PG-13,Action,English             ,2,1984,17-06-2005 10:25,23-06-2005 08:18,17652,2.99,380,Russell,Brinson,1
1278,283,Ending Crowds,6,0.99,85,10.99,NC-17,New,English             ,1,2018,17-06-2005 12:35,26-06-2005 13:16,17653,3.99,380,Russell,Brinson,1
2866,628,Northwest Polish,5,2.99,172,24.99,PG,Sports,English             ,1,2440,18-06-2005 18:41,22-06-2005 12:46,17654,2.99,380,Russell,Brinson,1
463,102,Bubble Grosse,4,4.99,60,20.99,R,Sports,English             ,2,2464,18-06-2005 20:06,20-06-2005 19:22,17655,4.99,380,Russell,Brinson,1
1288,285,English Bulworth,3,0.99,51,18.99,PG-13,Sci-Fi,English             ,1,2998,20-06-2005 09:30,24-06-2005 06:31,17656,1.99,380,Russell,Brinson,1
3756,821,Sorority Queen,6,0.99,184,17.99,NC-17,Foreign,English             ,2,3099,20-06-2005 16:44,27-06-2005 12:17,17657,1.99,380,Russell,Brinson,1
3627,791,Show Lord,3,4.99,167,24.99,PG-13,Documentary,English             ,2,3260,21-06-2005 03:59,23-06-2005 03:29,17658,4.99,380,Russell,Brinson,1
1951,425,Holy Tadpole,6,0.99,88,20.99,R,Classics,English             ,2,1402,15-06-2005 16:31,24-06-2005 19:31,17659,3.99,381,Bobby,Boudreau,1
3319,730,Ridgemont Submarine,3,0.99,46,28.99,PG-13,New,English             ,2,1878,17-06-2005 02:55,21-06-2005 03:44,17660,1.99,381,Bobby,Boudreau,1
265,59,Bear Graceland,4,2.99,160,20.99,R,Children,English             ,1,2410,18-06-2005 16:55,20-06-2005 12:40,17661,2.99,381,Bobby,Boudreau,1
2756,604,Mulan Moon,4,0.99,160,10.99,G,Comedy,English             ,2,2418,18-06-2005 17:14,26-06-2005 16:33,17662,4.99,381,Bobby,Boudreau,1
4548,993,Wrong Behavior,6,2.99,178,10.99,PG-13,Children,English             ,1,3425,21-06-2005 18:07,27-06-2005 22:59,17663,2.99,381,Bobby,Boudreau,1
731,160,Club Graffiti,4,0.99,65,12.99,PG-13,Animation,English             ,1,2389,18-06-2005 15:27,21-06-2005 12:26,17664,0.99,382,Victor,Barkley,1
1833,398,Hanover Galaxy,5,4.99,47,21.99,NC-17,Music,English             ,2,2468,18-06-2005 20:23,23-06-2005 14:34,17665,4.99,382,Victor,Barkley,1
4012,873,Sweethearts Suspects,3,0.99,108,13.99,G,Children,English             ,2,2489,18-06-2005 22:00,22-06-2005 02:06,17666,1.99,382,Victor,Barkley,1
